"","County","Category","Proportion"
"179","Bomet","4-7",51.2
"180","Bomet","8+",2.1
"181","Kakamega","None",0
"182","Kakamega","1",2
"183","Kakamega","2-3",24.6
"184","Kakamega","4-7",66.5
"185","Kakamega","8+",6.9
"186","Vihiga","None",0.9
"187","Vihiga","1",2.3
"188","Vihiga","2-3",17.4
"189","Vihiga","4-7",74.2
"190","Vihiga","8+",5.2
"191","Bungoma","None",1.4
"192","Bungoma","1",0.5
"193","Bungoma","2-3",25.6
"194","Bungoma","4-7",69.4
"195","Bungoma","8+",3.1
"196","Busia","None",0.6
"197","Busia","1",3.1
"198","Busia","2-3",25.5
"199","Busia","4-7",64.5
"200","Busia","8+",6.3
"201","Siaya","None",0.9
"202","Siaya","1",1.2
"203","Siaya","2-3",32.8
"204","Siaya","4-7",62
"205","Siaya","8+",3
"206","Kisumu","None",1.4
"207","Kisumu","1",3.9
"208","Kisumu","2-3",31.5
"209","Kisumu","4-7",58.3
"210","Kisumu","8+",5
"211","Homa Bay","None",1.8
"212","Homa Bay","1",1.7
"213","Homa Bay","2-3",27.3
"214","Homa Bay","4-7",65.5
"215","Homa Bay","8+",3.3
"216","Migori","None",0
"217","Migori","1",2.8
"218","Migori","2-3",38.7
"219","Migori","4-7",56.1
"220","Migori","8+",2.4
"221","Kisii","None",1.5
"222","Kisii","1",4.5
"223","Kisii","2-3",31.2
"224","Kisii","4-7",60.9
"225","Kisii","8+",1.7
"226","Nyamira","None",0
"227","Nyamira","1",3.8
"228","Nyamira","2-3",30.4
"229","Nyamira","4-7",62.9
"230","Nyamira","8+",2.8
"231","Nairobi","None",0
"232","Nairobi","1",1.7
"233","Nairobi","2-3",17.8
"234","Nairobi","4-7",72.9
"235","Nairobi","8+",7.6
