Value,Reason,Proportion,Background characteristics
Total,Too hot,5.2,Total
Total,Don't like net,0.9,Total
Total,Don't like smell,1.1,Total
Total,Unable to hang net,4.3,Total
Total,Slept outdoors,1.1,Total
Total,User didn't sleep in household,13.6,Total
Total,No mosquitoes/malaria,11.7,Total
Total,Extra net/saving for later,55.5,Total
Total,Net too small,0.3,Total
Total,Net brought bedbugs,0.6,Total
Total,Other,5.7,Total
