County,Reason,Proportion,Names,proportion_groups
Busia,Don't like net,0.6,"Busia, 0.6%",< 1
Busia,Don't like smell,0.9,"Busia, 0.9%",< 1
Busia,Unable to hang net,1,"Busia, 1%",1-2
Busia,Slept outdoors,0,"Busia, 0%",< 1
Busia,User didn't sleep in household,7.1,"Busia, 7.1%",>2-10
Busia,No mosquitoes/malaria,3.3,"Busia, 3.3%",>2-10
Busia,Extra net/saving for later,81.2,"Busia, 81.2%",>10
Busia,Net too small,0,"Busia, 0%",< 1
Busia,Net brought bedbugs,1.9,"Busia, 1.9%",1-2
Busia,Other,2.7,"Busia, 2.7%",>2-10
Siaya,Too hot,0.6,"Siaya, 0.6%",< 1
Siaya,Don't like net,0,"Siaya, 0%",< 1
Siaya,Don't like smell,0.4,"Siaya, 0.4%",< 1
Siaya,Unable to hang net,1.5,"Siaya, 1.5%",1-2
Siaya,Slept outdoors,0,"Siaya, 0%",< 1
Siaya,User didn't sleep in household,11.8,"Siaya, 11.8%",>10
Siaya,No mosquitoes/malaria,1.5,"Siaya, 1.5%",1-2
Siaya,Extra net/saving for later,80.6,"Siaya, 80.6%",>10
Siaya,Net too small,0,"Siaya, 0%",< 1
Siaya,Net brought bedbugs,1.9,"Siaya, 1.9%",1-2
Siaya,Other,1.6,"Siaya, 1.6%",1-2
Kisumu,Too hot,3.9,"Kisumu, 3.9%",>2-10
Kisumu,Don't like net,0,"Kisumu, 0%",< 1
Kisumu,Don't like smell,0.3,"Kisumu, 0.3%",< 1
Kisumu,Unable to hang net,2.2,"Kisumu, 2.2%",>2-10
Kisumu,Slept outdoors,2.2,"Kisumu, 2.2%",>2-10
Kisumu,User didn't sleep in household,7.2,"Kisumu, 7.2%",>2-10
Kisumu,No mosquitoes/malaria,4.9,"Kisumu, 4.9%",>2-10
Kisumu,Extra net/saving for later,73.8,"Kisumu, 73.8%",>10
Kisumu,Net too small,0.6,"Kisumu, 0.6%",< 1
Kisumu,Net brought bedbugs,1.1,"Kisumu, 1.1%",1-2
Kisumu,Other,3.8,"Kisumu, 3.8%",>2-10
Homa Bay,Too hot,0.5,"Homa Bay, 0.5%",< 1
Homa Bay,Don't like net,1.7,"Homa Bay, 1.7%",1-2
Homa Bay,Don't like smell,0.8,"Homa Bay, 0.8%",< 1
Homa Bay,Unable to hang net,6.5,"Homa Bay, 6.5%",>2-10
Homa Bay,Slept outdoors,0.2,"Homa Bay, 0.2%",< 1
Homa Bay,User didn't sleep in household,10.8,"Homa Bay, 10.8%",>10
Homa Bay,No mosquitoes/malaria,3.7,"Homa Bay, 3.7%",>2-10
Homa Bay,Extra net/saving for later,67.5,"Homa Bay, 67.5%",>10
Homa Bay,Net too small,0,"Homa Bay, 0%",< 1
Homa Bay,Net brought bedbugs,1.2,"Homa Bay, 1.2%",1-2
Homa Bay,Other,7.1,"Homa Bay, 7.1%",>2-10
Migori,Too hot,1.3,"Migori, 1.3%",1-2
Migori,Don't like net,0.8,"Migori, 0.8%",< 1
Migori,Don't like smell,0.4,"Migori, 0.4%",< 1
Migori,Unable to hang net,4.4,"Migori, 4.4%",>2-10
Migori,Slept outdoors,0,"Migori, 0%",< 1
Migori,User didn't sleep in household,15.5,"Migori, 15.5%",>10
Migori,No mosquitoes/malaria,0.9,"Migori, 0.9%",< 1
Migori,Extra net/saving for later,71.9,"Migori, 71.9%",>10
Migori,Net too small,0.3,"Migori, 0.3%",< 1
Migori,Net brought bedbugs,0,"Migori, 0%",< 1
Migori,Other,4.6,"Migori, 4.6%",>2-10
Kisii,Too hot,0.8,"Kisii, 0.8%",< 1
Kisii,Don't like net,0,"Kisii, 0%",< 1
Kisii,Don't like smell,2.2,"Kisii, 2.2%",>2-10
Kisii,Unable to hang net,1.2,"Kisii, 1.2%",1-2
Kisii,Slept outdoors,0.4,"Kisii, 0.4%",< 1
Kisii,User didn't sleep in household,13.3,"Kisii, 13.3%",>10
Kisii,No mosquitoes/malaria,2.1,"Kisii, 2.1%",>2-10
Kisii,Extra net/saving for later,77.7,"Kisii, 77.7%",>10
Kisii,Net too small,0,"Kisii, 0%",< 1
Kisii,Net brought bedbugs,0,"Kisii, 0%",< 1
Kisii,Other,2.3,"Kisii, 2.3%",>2-10
Nyamira,Too hot,0.2,"Nyamira, 0.2%",< 1
Nyamira,Don't like net,0.2,"Nyamira, 0.2%",< 1
Nyamira,Don't like smell,0,"Nyamira, 0%",< 1
Nyamira,Unable to hang net,1.8,"Nyamira, 1.8%",1-2
Nyamira,Slept outdoors,0.3,"Nyamira, 0.3%",< 1
Nyamira,User didn't sleep in household,17.7,"Nyamira, 17.7%",>10
Nyamira,No mosquitoes/malaria,1,"Nyamira, 1%",1-2
Nyamira,Extra net/saving for later,74.4,"Nyamira, 74.4%",>10
Nyamira,Net too small,0.3,"Nyamira, 0.3%",< 1
Nyamira,Net brought bedbugs,0,"Nyamira, 0%",< 1
Nyamira,Other,4,"Nyamira, 4%",>2-10
Nairobi,Too hot,8.6,"Nairobi, 8.6%",>2-10
Nairobi,Don't like net,0,"Nairobi, 0%",< 1
Nairobi,Don't like smell,0.6,"Nairobi, 0.6%",< 1
Nairobi,Unable to hang net,14.6,"Nairobi, 14.6%",>10
Nairobi,Slept outdoors,1.3,"Nairobi, 1.3%",1-2
Nairobi,User didn't sleep in household,17.2,"Nairobi, 17.2%",>10
Nairobi,No mosquitoes/malaria,24.2,"Nairobi, 24.2%",>10
Nairobi,Extra net/saving for later,24.3,"Nairobi, 24.3%",>10
Nairobi,Net too small,0,"Nairobi, 0%",< 1
Nairobi,Net brought bedbugs,0,"Nairobi, 0%",< 1
Nairobi,Other,9.2,"Nairobi, 9.2%",>2-10
