"","County","Category","Proportion","proportion_groups"
"114","Nandi","60-89 days",9.1,"≤ 11"
"115","Nandi","90-179 days",35.7,">35"
"116","Nandi","180+ days",8.9,"≤ 11"
"117","Baringo","<60 days",20.2,">16-23"
"118","Baringo","60-89 days",18.6,">16-23"
"119","Baringo","90-179 days",40.7,">35"
"120","Baringo","180+ days",4.7,"≤ 11"
"121","Laikipia","<60 days",16.4,">16-23"
"122","Laikipia","60-89 days",14.7,">11-16"
"123","Laikipia","90-179 days",42,">35"
"124","Laikipia","180+ days",18.5,">16-23"
"125","Nakuru","<60 days",24.2,">23-35"
"126","Nakuru","60-89 days",12.8,">11-16"
"127","Nakuru","90-179 days",41.7,">35"
"128","Nakuru","180+ days",14.8,">11-16"
"129","Narok","<60 days",41.9,">35"
"130","Narok","60-89 days",9,"≤ 11"
"131","Narok","90-179 days",26.5,">23-35"
"132","Narok","180+ days",6.5,"≤ 11"
"133","Kajiado","<60 days",23.2,">23-35"
"134","Kajiado","60-89 days",12.4,">11-16"
"135","Kajiado","90-179 days",38.3,">35"
"136","Kajiado","180+ days",20.8,">16-23"
"137","Kericho","<60 days",28.6,">23-35"
"138","Kericho","60-89 days",12.8,">11-16"
"139","Kericho","90-179 days",34,">23-35"
"140","Kericho","180+ days",15,">11-16"
"141","Bomet","<60 days",27.1,">23-35"
"142","Bomet","60-89 days",20,">16-23"
"143","Bomet","90-179 days",34.7,">23-35"
"144","Bomet","180+ days",8.9,"≤ 11"
"145","Kakamega","<60 days",14.3,">11-16"
"146","Kakamega","60-89 days",7.9,"≤ 11"
"147","Kakamega","90-179 days",39.3,">35"
"148","Kakamega","180+ days",30,">23-35"
"149","Vihiga","<60 days",15.5,">11-16"
"150","Vihiga","60-89 days",18.8,">16-23"
"151","Vihiga","90-179 days",40.3,">35"
"152","Vihiga","180+ days",23.6,">23-35"
"153","Bungoma","<60 days",9.1,"≤ 11"
"154","Bungoma","60-89 days",10.5,"≤ 11"
"155","Bungoma","90-179 days",54,">35"
"156","Bungoma","180+ days",13.4,">11-16"
"157","Busia","<60 days",32.2,">23-35"
"158","Busia","60-89 days",19.6,">16-23"
"159","Busia","90-179 days",30.3,">23-35"
"160","Busia","180+ days",12.4,">11-16"
"161","Siaya","<60 days",17.2,">16-23"
"162","Siaya","60-89 days",9,"≤ 11"
"163","Siaya","90-179 days",43.9,">35"
"164","Siaya","180+ days",18.8,">16-23"
"165","Kisumu","<60 days",15,">11-16"
"166","Kisumu","60-89 days",14.2,">11-16"
"167","Kisumu","90-179 days",47,">35"
"168","Kisumu","180+ days",18.6,">16-23"
"169","Homa Bay","<60 days",25.8,">23-35"
"170","Homa Bay","60-89 days",8.4,"≤ 11"
"171","Homa Bay","90-179 days",24.8,">23-35"
"172","Homa Bay","180+ days",26.1,">23-35"
"173","Migori","<60 days",14.6,">11-16"
"174","Migori","60-89 days",9.3,"≤ 11"
"175","Migori","90-179 days",32.2,">23-35"
"176","Migori","180+ days",36.1,">35"
"177","Kisii","<60 days",32.4,">23-35"
"178","Kisii","60-89 days",17.1,">16-23"
"179","Kisii","90-179 days",35.5,">35"
"180","Kisii","180+ days",9.6,"≤ 11"
"181","Nyamira","<60 days",29,">23-35"
"182","Nyamira","60-89 days",6.2,"≤ 11"
"183","Nyamira","90-179 days",28,">23-35"
"184","Nyamira","180+ days",15.2,">11-16"
"185","Nairobi","<60 days",19.4,">16-23"
"186","Nairobi","60-89 days",7.4,"≤ 11"
"187","Nairobi","90-179 days",41.7,">35"
"188","Nairobi","180+ days",21.5,">16-23"
