Residence,perc_atleast_1itn,avrg_itn_hh,no_hhs,perc_atleast_1itn_2pple,no_hhs_1person_overnight
Urban,40.5,0.8,"15,277",27.7,"15,062"
Rural,63.5,1.6,"22,634",43.4,"22,509"
