residence,radio,television,newspaper,mobile,social_media,poster,billboard,friends,internet,none
Urban,68.4,64.9,39.2,21.8,58.3,55.4,48.1,72.0,56.6,7.2
Rural,68.6,48.4,21.2,10.0,28.2,39.1,37.3,62.2,26.7,11.9
