education,heard_of_any,heard_of_any_modern,number,gender
Lowest,98.3,98.2,"2,994",Women
Second,99.7,99.7,"3,125",Women
Middle,99.9,99.9,"3,330",Women
Fourth,99.7,99.7,"3,945",Women
Highest,99.9,99.9,"4,427",Women
Lowest,98.3,98.2,"2,994",Men
Second,99.7,99.7,"3,125",Men
Middle,99.9,99.9,"3,330",Men
Fourth,99.7,99.7,"3,945",Men
Highest,99.9,99.9,"4,427",Men
