education,For_spacing,For_limiting,Total,need
No education,13.5,9.2,22.7,unmet_need
Primary,6.9,8.2,15.1,unmet_need
Secondary,7.6,5.0,12.5,unmet_need
More than secondary,6.2,3.5,9.7,unmet_need
No education,11.8,10.8,22.5,met_need
Primary,23.4,40.8,64.3,met_need
Secondary,37.4,28.5,65.9,met_need
More than secondary,40.1,27.3,67.4,met_need
No education,25.3,20.0,45.2,total_demand
Primary,30.4,49.0,79.4,total_demand
Secondary,44.9,33.5,78.4,total_demand
More than secondary,46.4,30.7,77.1,total_demand
