age,For_spacing,For_limiting,Total,need
15-19,4.5,0.3,4.7,unmet_need
20-24,10.4,0.9,11.3,unmet_need
25-29,8.0,2.4,10.3,unmet_need
30-34,5.7,6.0,11.6,unmet_need
35-39,3.9,7.3,11.3,unmet_need
40-44,2.0,8.8,10.9,unmet_need
45-49,1.6,8.5,10.2,unmet_need
15-19,12.5,0.9,13.4,met_need
20-24,37.9,7.0,44.9,met_need
25-29,43.1,16.7,59.8,met_need
30-34,31.4,30.2,61.6,met_need
35-39,18.5,42.7,61.2,met_need
40-44,6.5,49.1,55.6,met_need
45-49,1.7,39.2,41.0,met_need
15-19,16.9,1.2,18.1,total_demand
20-24,48.3,7.9,56.2,total_demand
25-29,51.1,19.0,70.1,total_demand
30-34,37.0,36.2,73.2,total_demand
35-39,22.4,50.1,72.5,total_demand
40-44,8.5,57.9,66.4,total_demand
45-49,3.4,47.8,51.1,total_demand
