residence,radio,television,newspaper,mobile,social_media,poster,billboard,events,friends,internet,none
Urban,56.9,62.4,24.1,16.1,48.6,43.2,42.2,43.1,82.2,47.1,5.8
Rural,60.4,40.5,17.4,12.3,20.8,38.6,30.1,46.5,79.9,19.0,8.8
