"County","Category","Proportion","proportion_groups"
"Siaya","180+ days",18.8,">16-23"
"Kisumu","<60 days",15,">11-16"
"Kisumu","60-89 days",14.2,">11-16"
"Kisumu","90-179 days",47,">35"
"Kisumu","180+ days",18.6,">16-23"
"Homa Bay","<60 days",25.8,">23-35"
"Homa Bay","60-89 days",8.4,"≤ 11"
"Homa Bay","90-179 days",24.8,">23-35"
"Homa Bay","180+ days",26.1,">23-35"
"Migori","<60 days",14.6,">11-16"
"Migori","60-89 days",9.3,"≤ 11"
"Migori","90-179 days",32.2,">23-35"
"Migori","180+ days",36.1,">35"
"Kisii","<60 days",32.4,">23-35"
"Kisii","60-89 days",17.1,">16-23"
"Kisii","90-179 days",35.5,">35"
"Kisii","180+ days",9.6,"≤ 11"
"Nyamira","<60 days",29,">23-35"
"Nyamira","60-89 days",6.2,"≤ 11"
"Nyamira","90-179 days",28,">23-35"
"Nyamira","180+ days",15.2,">11-16"
"Nairobi","<60 days",19.4,">16-23"
"Nairobi","60-89 days",7.4,"≤ 11"
"Nairobi","90-179 days",41.7,">35"
"Nairobi","180+ days",21.5,">16-23"
