"County","Category","Proportion","proportion_groups"
"Kakamega","Total normal",49.2,">43"
"Kakamega","Over-weight",27.6,">26-43"
"Kakamega","Obese",19.1,">18-26"
"Vihiga","Total thin",4.2,"≤ 9"
"Vihiga","Total normal",52.4,">43"
"Vihiga","Over-weight",26.5,">26-43"
"Vihiga","Obese",16.9,">9-18"
"Bungoma","Total thin",7.7,"≤ 9"
"Bungoma","Total normal",58.5,">43"
"Bungoma","Over-weight",24.1,">18-26"
"Bungoma","Obese",9.6,">9-18"
"Busia","Total thin",8.7,"≤ 9"
"Busia","Total normal",52.1,">43"
"Busia","Over-weight",28.2,">26-43"
"Busia","Obese",11.1,">9-18"
"Siaya","Total thin",6.2,"≤ 9"
"Siaya","Total normal",56.9,">43"
"Siaya","Over-weight",24.8,">18-26"
"Siaya","Obese",12.1,">9-18"
"Kisumu","Total thin",6.1,"≤ 9"
"Kisumu","Total normal",55.2,">43"
"Kisumu","Over-weight",26.2,">26-43"
"Kisumu","Obese",12.5,">9-18"
"Homa Bay","Total thin",4.9,"≤ 9"
"Homa Bay","Total normal",56.6,">43"
"Homa Bay","Over-weight",25.5,">18-26"
"Homa Bay","Obese",12.9,">9-18"
"Migori","Total thin",4.7,"≤ 9"
"Migori","Total normal",59.7,">43"
"Migori","Over-weight",23.9,">18-26"
"Migori","Obese",11.7,">9-18"
"Kisii","Total thin",3.3,"≤ 9"
"Kisii","Total normal",51.9,">43"
"Kisii","Over-weight",28.7,">26-43"
"Kisii","Obese",16.1,">9-18"
"Nyamira","Total thin",4.4,"≤ 9"
"Nyamira","Total normal",51.1,">43"
"Nyamira","Over-weight",26.1,">26-43"
"Nyamira","Obese",18.4,">18-26"
"Nairobi","Total thin",3.1,"≤ 9"
"Nairobi","Total normal",40.5,">26-43"
"Nairobi","Over-weight",32.9,">26-43"
"Nairobi","Obese",23.6,">18-26"
